exposure_id	snp_id	beta	se	z	p
exposure_9	snp_349	0.212486504467372	0.00981543491446313	21.6482006471533	1.32954331822794e-101
exposure_1	snp_298	-0.201562381946275	0.0101125872527938	-19.9318311830228	1.02759940708991e-86
exposure_15	snp_191	0.199509641739205	0.0100802835287253	19.7920664801414	1.49480631338603e-85
exposure_6	snp_892	0.190902473721697	0.00971365440251512	19.6530024449159	2.10885800809536e-84
exposure_1	snp_984	0.192075134904608	0.0101310389046613	18.9590758373492	8.873163227197e-79
exposure_11	snp_953	-0.178775925745292	0.0097429263044164	-18.3493049377017	5.43912678702856e-74
exposure_4	snp_40	0.186590680819789	0.0101689332019709	18.3490910121845	5.45988222528183e-74
exposure_9	snp_714	-0.175023922798164	0.00988912367522386	-17.6986281642597	4.82606284830386e-69
exposure_18	snp_2	0.173276799300435	0.00989459815350308	17.5122624094732	1.17521608512634e-67
exposure_17	snp_601	-0.174218475714244	0.010083573103578	-17.2774545217929	6.27356698193516e-66
exposure_20	snp_918	0.17655190709547	0.0103278949742368	17.0946652280918	1.34006648854779e-64
exposure_13	snp_494	-0.1625546205087	0.00975708520799435	-16.6601620303073	1.71589875712663e-61
exposure_15	snp_223	-0.167659142950458	0.0101381359652383	-16.5374723248266	1.25405178043071e-60
exposure_4	snp_9	0.164417450378512	0.0102071375309119	16.1080861192064	1.18634312760538e-57
exposure_6	snp_469	0.15437585767447	0.00977836995838126	15.7874838374417	1.77039550740171e-55
exposure_7	snp_743	0.161960124969482	0.0103481669211111	15.6510932036735	1.44667837345695e-54
exposure_12	snp_876	-0.15346691384844	0.0098110290425694	-15.6422851448668	1.65588903926163e-54
exposure_7	snp_851	-0.158707377385128	0.0103532064857573	-15.3292970253668	1.91950288197743e-52
exposure_2	snp_201	0.148660824686436	0.00972852762802831	15.2809171511358	3.96948474235976e-52
exposure_11	snp_103	-0.1477588000678	0.00979477577283132	-15.0854704073627	7.30929175588673e-51
exposure_9	snp_900	0.146426954943096	0.00993550215101551	14.737750816966	1.19271918850605e-48
exposure_15	snp_249	-0.149521246660484	0.0101664750249815	-14.7072851005952	1.85383576937439e-48
exposure_11	snp_958	0.143419614135909	0.00980122469095072	14.6328258618869	5.42752540652573e-48
